date,demand
2021/5/1,624.159
2021/5/2,203.835
2021/5/3,339.6
2021/5/4,324.9
2021/5/5,541.284
2021/5/6,311.14
2021/5/7,1180.511
2021/5/8,150.553
2021/5/9,105.006
2021/5/10,161.62
2021/5/11,36.64
2021/5/12,1009.638
2021/5/13,1234.797
2021/5/14,781.321
2021/5/15,522.226
2021/5/16,220.88
2021/5/17,707.296
2021/5/18,718.261
2021/5/19,3520.756
2021/5/20,2191.469
2021/5/21,2501.193
2021/5/22,218.409
2021/5/23,350.079
2021/5/24,3392.273
2021/5/25,4360.166
2021/5/26,744.482
2021/5/27,3740.344
2021/5/28,141.548
2021/5/29,0
2021/5/30,0
2021/5/31,0
2021/6/1,1270.464
2021/6/2,764
2021/6/3,357.209
2021/6/4,699.605
2021/6/5,0
2021/6/6,0.857
2021/6/7,748.211
2021/6/8,232.111
2021/6/9,291.844
2021/6/10,256.491
2021/6/11,249.444
2021/6/12,508.469
2021/6/13,607.541
2021/6/14,341.287
2021/6/15,2962.667
2021/6/16,2473.376
2021/6/17,1135.276
2021/6/18,3032.32
2021/6/19,1013.817
2021/6/20,311.83
2021/6/21,1279.902
2021/6/22,903.534
2021/6/23,1806.187
2021/6/24,2500.591
2021/6/25,4651.24
2021/6/26,1197.743
2021/6/27,218.494
2021/6/28,170.82
2021/6/29,247.836
2021/6/30,0
2021/7/1,0
2021/7/2,0
2021/7/3,0
2021/7/4,0
2021/7/5,732.408
2021/7/6,1026.613
2021/7/7,283.46
2021/7/8,165.654
2021/7/9,337.209
2021/7/10,112.864
2021/7/11,82
2021/7/12,123.009
2021/7/13,1075.001
2021/7/14,278.977
2021/7/15,782.009
2021/7/16,1645.157
2021/7/17,873.215
2021/7/18,1035.1
2021/7/19,4062.356
2021/7/20,4952.34
2021/7/21,3456.934
2021/7/22,1962.301
2021/7/23,2559.334
2021/7/24,1126.898
2021/7/25,1740.323
2021/7/26,2600.642
2021/7/27,1384.503
2021/7/28,0.608
2021/7/29,0
2021/7/30,0
2021/7/31,0
2021/8/1,51.568
2021/8/2,208.905
2021/8/3,555.87
2021/8/4,1060.72
2021/8/5,1018.696
2021/8/6,380.872
2021/8/7,126.82
2021/8/8,30.18
2021/8/9,226.129
2021/8/10,83.557
2021/8/11,122.753
2021/8/12,90.229
2021/8/13,15.014
2021/8/14,356.051
2021/8/15,640.977
2021/8/16,500.784
2021/8/17,1733.363
2021/8/18,4536.176
2021/8/19,1720.2
2021/8/20,483.572
2021/8/21,569.909
2021/8/22,198.949
2021/8/23,1064.235
2021/8/24,2987.686
2021/8/25,3722.914
2021/8/26,374.797
2021/8/27,265.137
2021/8/28,0
2021/8/29,0
2021/8/30,0
2021/8/31,15.53
2021/9/1,975.887
2021/9/2,398.761
2021/9/3,427.669
2021/9/4,30
2021/9/5,21.1
2021/9/6,150.389
2021/9/7,715.648
2021/9/8,106.56
2021/9/9,8.92
2021/9/10,34.084
2021/9/11,30.264
2021/9/12,21.06
2021/9/13,500.083
2021/9/14,1288.954
2021/9/15,1918.567
2021/9/16,531.05
2021/9/17,1823.069
2021/9/18,3450.435
2021/9/19,673.326
2021/9/20,395.488
2021/9/21,318.068
2021/9/22,1979.109
2021/9/23,828.466
2021/9/24,1733.376
2021/9/25,3979.488
2021/9/26,10327.418
2021/9/27,16832.644
2021/9/28,1367.375
2021/9/29,0
2021/9/30,0
2021/10/1,20.804
2021/10/2,15.12
2021/10/3,0
2021/10/4,0
2021/10/5,0
2021/10/6,0
2021/10/7,105.277
2021/10/8,33.836
2021/10/9,1302.078
2021/10/10,402.95
2021/10/11,520.225
2021/10/12,333.429
2021/10/13,0.9
2021/10/14,680.606
2021/10/15,418.447
2021/10/16,90.572
2021/10/17,112.29
2021/10/18,812.544
2021/10/19,581.874
2021/10/20,3986.294
2021/10/21,3686.053
2021/10/22,2053.451
2021/10/23,1073.249
2021/10/24,806.545
2021/10/25,3680.987
2021/10/26,2488.755
2021/10/27,3240.912
2021/10/28,1070.318
2021/10/29,22.42
2021/10/30,0
2021/10/31,0
2021/11/1,14.8
2021/11/2,7.625
2021/11/3,12.552
2021/11/4,39.32
2021/11/5,99.582
2021/11/6,51.919
2021/11/7,41.425
2021/11/8,317.85
2021/11/9,932.998
2021/11/10,294.687
2021/11/11,179.005
2021/11/12,437.193
2021/11/13,198.554
2021/11/14,138.224
2021/11/15,90.75
2021/11/16,335.763
2021/11/17,2483.11
2021/11/18,2235.71
2021/11/19,3577.916
2021/11/20,738.53
2021/11/21,393.606
2021/11/22,4014.494
2021/11/23,6270.637
2021/11/24,4514.724
2021/11/25,4581.741
2021/11/26,4550.936
2021/11/27,1270.599
2021/11/28,74
2021/11/29,30.869
2021/11/30,0.84
2021/12/1,279.39
2021/12/2,168.289
2021/12/3,466.157
2021/12/4,307.849
2021/12/5,147.553
2021/12/6,1143.31
2021/12/7,825.685
2021/12/8,563.545
2021/12/9,1342.357
2021/12/10,1399.072
2021/12/11,2521.465
2021/12/12,862.765
2021/12/13,641.687
2021/12/14,918.392
2021/12/15,702.532
2021/12/16,1474.773
2021/12/17,1234.757
2021/12/18,282.396
2021/12/19,12.696
2021/12/20,1955.666
2021/12/21,5302.85
2021/12/22,6346.659
2021/12/23,1093.829
2021/12/24,5631.063
2021/12/25,4731.36
2021/12/26,164.9
2021/12/27,5523.217
2021/12/28,230.11
2021/12/29,1029.597
2021/12/30,2817.06
2021/12/31,785.891
2022/1/1,0
2022/1/2,0
2022/1/3,0
2022/1/4,0
2022/1/5,0
2022/1/6,0
2022/1/7,0
2022/1/8,0
2022/1/9,0
2022/1/10,0
2022/1/11,0
2022/1/12,0
2022/1/13,0
2022/1/14,0
2022/1/15,0
2022/1/16,0
2022/1/17,58.32
2022/1/18,0
2022/1/19,0
2022/1/20,1514
2022/1/21,2419
2022/1/22,0
2022/1/23,0
2022/1/24,0
2022/1/25,0
2022/1/26,0
2022/1/27,0
2022/1/28,0
2022/1/29,0
2022/1/30,0
2022/1/31,0
2022/2/1,0
2022/2/2,0
2022/2/3,0
2022/2/4,0
2022/2/5,0
2022/2/6,0
2022/2/7,0
2022/2/8,8.5
2022/2/9,0
2022/2/10,0
2022/2/11,0
2022/2/12,0
2022/2/13,0
2022/2/14,3.5
2022/2/15,50
2022/2/16,7.17
2022/2/17,0
2022/2/18,82.203
2022/2/19,0
2022/2/20,0
2022/2/21,7.7
2022/2/22,2103.5
2022/2/23,5479.756
2022/2/24,6060.096
2022/2/25,437.916
2022/2/26,0
2022/2/27,0
2022/2/28,0
2022/3/1,0
2022/3/2,0
2022/3/3,52.6
2022/3/4,0
2022/3/5,0
2022/3/6,0
2022/3/7,79.58
2022/3/8,15
2022/3/9,40.462
2022/3/10,92.559
2022/3/11,19.266
2022/3/12,40.551
2022/3/13,30
2022/3/14,45
2022/3/15,1332.651
2022/3/16,666.364
2022/3/17,561.916
2022/3/18,275.551
2022/3/19,307.6
2022/3/20,51.5
2022/3/21,894.659
2022/3/22,1676.918
2022/3/23,3373.402
2022/3/24,684.372
2022/3/25,235.585
2022/3/26,388.62
2022/3/27,4969.19
2022/3/28,152.73
2022/3/29,0
2022/3/30,0
2022/3/31,0
2022/4/1,61.99
2022/4/2,144.743
2022/4/3,0
2022/4/4,152.2
2022/4/5,141.581
2022/4/6,0
2022/4/7,68.724
2022/4/8,260.788
2022/4/9,217.036
2022/4/10,279.564
2022/4/11,45.528
2022/4/12,163.848
2022/4/13,58.527
2022/4/14,265.068
2022/4/15,537.764
2022/4/16,120.788
2022/4/17,31.12
2022/4/18,369.742
2022/4/19,55.139
2022/4/20,6245.41
2022/4/21,3613.104
2022/4/22,1684.366
2022/4/23,2167.591
2022/4/24,3384.67
2022/4/25,5902.982
2022/4/26,1188.784
2022/4/27,764.919
2022/4/28,179
2022/4/29,0
2022/4/30,0
2022/5/1,0
2022/5/2,0
2022/5/3,120.312
2022/5/4,456.947
2022/5/5,365.601
2022/5/6,9.274
2022/5/7,31.613
2022/5/8,88.36
2022/5/9,815.136
2022/5/10,592.774
2022/5/11,78.4
2022/5/12,449.394
2022/5/13,726.609
2022/5/14,91
2022/5/15,59.603
2022/5/16,328.982
2022/5/17,258.544
2022/5/18,76.157
2022/5/19,2914.967
