date,demand,cap
2021/2/21,0,0
2021/2/22,0,0
2021/2/23,0,0
2021/2/24,0,0
2021/2/25,0,0
2021/2/26,0,0
2021/2/27,0,0
2021/2/28,0,0
2021/3/1,0,0
2021/3/2,0,0
2021/3/3,0,0
2021/3/4,0,0
2021/3/5,0,0
2021/3/6,0,0
2021/3/7,0,0
2021/3/8,0,0
2021/3/9,0,0
2021/3/10,0,0
2021/3/11,0,0
2021/3/12,0,0
2021/3/13,0,0
2021/3/14,0,0
2021/3/15,280.81,0
2021/3/16,15,0
2021/3/17,180,0
2021/3/18,285,0
2021/3/19,66,0
2021/3/20,11.2,0
2021/3/21,0,0
2021/3/22,15,0
2021/3/23,30,0
2021/3/24,60,0
2021/3/25,29.65,0
2021/3/26,24.71,0
2021/3/27,48.71,0
2021/3/28,0,0
2021/3/29,0,0
2021/3/30,30,0
2021/3/31,0,0
2021/4/1,287.2,0
2021/4/2,471.14,0
2021/4/3,115.66,0
2021/4/4,59.23,0
2021/4/5,203.28,0
2021/4/6,233.85,0
2021/4/7,177,0
2021/4/8,351.15,0
2021/4/9,566.76,0
2021/4/10,116.7,0
2021/4/11,96.6,0
2021/4/12,164.8,0
2021/4/13,168.38,0
2021/4/14,0,0
2021/4/15,307.48,0
2021/4/16,265.74,0
2021/4/17,38.31,0
2021/4/18,66,0
2021/4/19,603.4,0
2021/4/20,289.74,0
2021/4/21,658.95,0
2021/4/22,313.85,0
2021/4/23,550.35,0
2021/4/24,1609.39,0
2021/4/25,1697.71,0
2021/4/26,749.86,0
2021/4/27,38.7,0
2021/4/28,0,0
2021/4/29,0,0
2021/4/30,0,0
2021/5/1,592,0
2021/5/2,152.24,0
2021/5/3,339.6,0
2021/5/4,324.9,0
2021/5/5,459.86,0
2021/5/6,311.14,0
2021/5/7,1139.32,0
2021/5/8,118.56,0
2021/5/9,90.01,0
2021/5/10,140.51,0
2021/5/11,36.64,0
2021/5/12,997.63,0
2021/5/13,402.64,0
2021/5/14,600.01,0
2021/5/15,259.12,0
2021/5/16,179.88,0
2021/5/17,433.05,0
2021/5/18,513.4,0
2021/5/19,623.91,0
2021/5/20,1930.03,0
2021/5/21,2501.23,0
2021/5/22,213.91,0
2021/5/23,350.09,0
2021/5/24,618.94,0
2021/5/25,570.43,0
2021/5/26,3,0
2021/5/27,0,0
2021/5/28,0,0
2021/5/29,0,0
2021/5/30,0,0
2021/5/31,0,0
2021/6/1,1270.47,0
2021/6/2,764,0
2021/6/3,357.21,0
2021/6/4,699.61,0
2021/6/5,0,0
2021/6/6,0,0
2021/6/7,745.96,0
2021/6/8,150.32,0
2021/6/9,168.05,0
2021/6/10,118.65,0
2021/6/11,249.31,0
2021/6/12,508.47,0
2021/6/13,607.53,0
2021/6/14,341.3,0
2021/6/15,1948.56,0
2021/6/16,1347.52,0
2021/6/17,724.07,0
2021/6/18,728.52,0
2021/6/19,527.17,0
2021/6/20,130.01,0
2021/6/21,383.56,0
2021/6/22,815.43,0
2021/6/23,452.02,0
2021/6/24,555.52,0
2021/6/25,1019.17,0
2021/6/26,0,0
2021/6/27,0,0
2021/6/28,0,0
2021/6/29,0,0
2021/6/30,0,0
2021/7/1,0,0
2021/7/2,0,0
2021/7/3,0,0
2021/7/4,0,0
2021/7/5,638.19,0
2021/7/6,1026.61,0
2021/7/7,283.46,0
2021/7/8,154.68,0
2021/7/9,89.74,0
2021/7/10,106.87,0
2021/7/11,82,0
2021/7/12,30.97,0
2021/7/13,219.36,0
2021/7/14,10,0
2021/7/15,0,0
2021/7/16,1274.74,0
2021/7/17,857.69,0
2021/7/18,1004.58,0
2021/7/19,2589.73,0
2021/7/20,1469.58,0
2021/7/21,1034.21,0
2021/7/22,1038.99,0
2021/7/23,776.76,0
2021/7/24,586.59,0
2021/7/25,227.06,0
2021/7/26,30.72,0
2021/7/27,0,0
2021/7/28,0,0
2021/7/29,0,0
2021/7/30,0,0
2021/7/31,0,0
2021/8/1,39.57,0
2021/8/2,89.56,0
2021/8/3,535.31,0
2021/8/4,1060.72,0
2021/8/5,1018.7,0
2021/8/6,380.87,0
2021/8/7,126.82,0
2021/8/8,30.18,0
2021/8/9,226.13,0
2021/8/10,72.75,0
2021/8/11,122.7,0
2021/8/12,90.02,0
2021/8/13,0,0
2021/8/14,356.05,0
2021/8/15,640.98,0
2021/8/16,500.8,0
2021/8/17,1271.3,0
2021/8/18,1702.01,0
2021/8/19,1404.53,0
2021/8/20,168.3,0
2021/8/21,470.42,0
2021/8/22,198.68,0
2021/8/23,501.18,0
2021/8/24,508.91,0
2021/8/25,336,0
2021/8/26,43.12,0
2021/8/27,0,0
2021/8/28,0,0
2021/8/29,0,0
2021/8/30,0,0
2021/8/31,0,0
2021/9/1,975.89,0
2021/9/2,398.75,0
2021/9/3,427.67,0
2021/9/4,30,0
2021/9/5,21.1,0
2021/9/6,150.39,0
2021/9/7,63.09,0
2021/9/8,106.56,0
2021/9/9,8.92,0
2021/9/10,31.08,0
2021/9/11,30.26,0
2021/9/12,21.06,0
2021/9/13,44.9,0
2021/9/14,310.38,0
2021/9/15,1013.57,0
2021/9/16,320.66,0
2021/9/17,400.59,0
2021/9/18,1245.37,0
2021/9/19,368.7,0
2021/9/20,361.46,0
2021/9/21,318.07,0
2021/9/22,852.21,0
2021/9/23,616.77,0
2021/9/24,729.79,0
2021/9/25,567.7,0
2021/9/26,425.94,0
2021/9/27,0,0
2021/9/28,0,0
2021/9/29,0,0
2021/9/30,0,0
2021/10/1,20.8,0
2021/10/2,15.12,0
2021/10/3,0,0
2021/10/4,0,0
2021/10/5,0,0
2021/10/6,0,0
2021/10/7,105.28,0
2021/10/8,33.84,0
2021/10/9,1302.08,0
2021/10/10,260.74,0
2021/10/11,517.88,0
2021/10/12,101.94,0
2021/10/13,0.9,0
2021/10/14,134.78,0
2021/10/15,320.44,0
2021/10/16,90.57,0
2021/10/17,112.29,0
2021/10/18,307.91,0
2021/10/19,129.02,0
2021/10/20,271.69,0
2021/10/21,2184.79,0
2021/10/22,1584.86,0
2021/10/23,1073.25,0
2021/10/24,806.58,0
2021/10/25,1269.63,0
2021/10/26,139.53,0
2021/10/27,0,0
2021/10/28,0,0
2021/10/29,0,0
2021/10/30,0,0
2021/10/31,0,0
2021/11/1,14.8,0
2021/11/2,7.63,0
2021/11/3,10,0
2021/11/4,39.32,0
2021/11/5,99.59,0
2021/11/6,51.91,0
2021/11/7,41.42,0
2021/11/8,275.98,0
2021/11/9,924.93,0
2021/11/10,207.38,0
2021/11/11,104.12,0
2021/11/12,378.06,0
2021/11/13,198.56,0
2021/11/14,123.22,0
2021/11/15,19.08,0
2021/11/16,234.83,0
2021/11/17,969.71,0
2021/11/18,1503.07,0
2021/11/19,1044.7,0
2021/11/20,333.4,0
2021/11/21,290.55,0
2021/11/22,1315.85,0
2021/11/23,479.43,0
2021/11/24,1208.82,0
2021/11/25,566.51,0
2021/11/26,524.99,0
2021/11/27,322.65,0
2021/11/28,0,0
2021/11/29,0,0
2021/11/30,0,0
2021/12/1,65.18,0
2021/12/2,100.29,0
2021/12/3,402.27,0
2021/12/4,216.81,0
2021/12/5,82.88,0
2021/12/6,243.39,0
2021/12/7,211.36,0
2021/12/8,139.98,0
2021/12/9,169.13,0
2021/12/10,372.46,0
2021/12/11,1528.33,0
2021/12/12,498.72,0
2021/12/13,354.32,0
2021/12/14,459.46,0
2021/12/15,37.48,0
2021/12/16,18.21,0
2021/12/17,0,0
2021/12/18,15.52,0
2021/12/19,7.7,0
2021/12/20,57.46,0
2021/12/21,17.54,0
2021/12/22,0.44,0
2021/12/23,1.1,0
2021/12/24,0,0
2021/12/25,0,0
2021/12/26,0,0
2021/12/27,0,0
2021/12/28,6.3,0
2021/12/29,0,0
2021/12/30,0,0
2021/12/31,0,0
2022/1/1,0,0
2022/1/2,0,0
2022/1/3,0,0
2022/1/4,0,0
2022/1/5,0,0
2022/1/6,0,0
2022/1/7,0,0
2022/1/8,0,0
2022/1/9,0,0
2022/1/10,0,0
2022/1/11,0,0
2022/1/12,0,0
2022/1/13,0,0
2022/1/14,0,0
2022/1/15,0,0
2022/1/16,0,0
2022/1/17,0,0
2022/1/18,0,0
2022/1/19,0,0
2022/1/20,0,0
2022/1/21,0,0
2022/1/22,0,0
2022/1/23,0,0
2022/1/24,0,0
2022/1/25,0,0
2022/1/26,0,0
2022/1/27,0,0
2022/1/28,0,0
2022/1/29,0,0
2022/1/30,0,0
2022/1/31,0,0
2022/2/1,0,0
2022/2/2,0,0
2022/2/3,0,0
2022/2/4,0,0
2022/2/5,0,0
2022/2/6,0,0
2022/2/7,0,0
2022/2/8,8.5,0
2022/2/9,0,0
2022/2/10,0,0
2022/2/11,0,0
2022/2/12,0,0
2022/2/13,0,0
2022/2/14,0,0
2022/2/15,0,0
2022/2/16,0,0
2022/2/17,0,0
2022/2/18,0,0
2022/2/19,0,0
2022/2/20,0,0
2022/2/21,0,0
2022/2/22,0,0
2022/2/23,0,0
2022/2/24,0,0
2022/2/25,0,0
2022/2/26,0,0
